"","Views","Title","Department","Details","Amount","Date","Place","ID"
"113","198 views","
                      I Paid Rs. 500000 to Commercial Tax, Sales Tax, VAT in Kolkata.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 5,00,000
                        ","November 03, 2015","Kolkata
                      , West Bengal","81622"
"114","218 views","
                      Bribe for passport verification
                    ","Police","Police Verification for Passport","Paid INR 200
                        ","November 02, 2015","Bangalore
                      , Karnataka","81615"
"115","220 views","
                      I Paid Rs. 2 to Police in Adari.
                    ","Police","Filing FIR","Paid INR 2
                        ","November 02, 2015","Adari
                      , Uttar Pradesh","81608"
"116","243 views","
                      I Paid Rs. 10000 to Railways in Chandigarh.
                    ","Railways","Transport of Goods","Paid INR 10,000
                        ","November 02, 2015","Chandigarh
                      , Chandigarh","81597"
"117","389 views","
                      Asked bribe at the heart of Delhi by traffic police
                    ","Police","Traffic Violations","Paid INR 600
                        ","November 02, 2015","New Delhi
                      , Delhi","81583"
"118","221 views","
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Durgapur.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 100
                        ","November 02, 2015","Durgapur
                      , West Bengal","81582"
"119","230 views","
                      I Paid Rs. 20 to Others in Pune.
                    ","Others","Others","Paid INR 20
                        ","November 02, 2015","Pune
                      , Maharashtra","81575"
"120","211 views","
                      I Paid Rs. 1200 to Others in Mumbai.
                    ","Others","Others","Paid INR 1,200
                        ","November 02, 2015","Mumbai
                      , Maharashtra","81574"
"121","202 views","
                      I Paid Rs. 100 to Municipal Services in Itanagar.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","November 02, 2015","Itanagar
                      , Arunachal Pradesh","81564"
"122","217 views","
                      I Paid Rs. 464001 to Municipal Services in Vidisha.
                    ","Municipal Services","Birth Certificate","Paid INR 4,64,001
                        ","November 02, 2015","Vidisha
                      , Madhya Pradesh","81554"
"123","266 views","
                      I Paid Rs. 120200 to Transport in Alipurduar.
                    ","Transport","Registration of Vehicle","Paid INR 1,20,200
                        ","November 02, 2015","Alipurduar
                      , West Bengal","81547"
"124","255 views","
                      I Paid Rs. 1200 to Municipal Services in Kochi.
                    ","Municipal Services","Birth Certificate","Paid INR 1,200
                        ","November 02, 2015","Kochi
                      , Kerala","81543"
"125","248 views","
                      I Paid Rs. 10000 to Police in Mahesana.
                    ","Police","Traffic Violations","Paid INR 10,000
                        ","November 02, 2015","Mahesana
                      , Gujarat","81542"
"126","248 views","
                      I Paid Rs. 200 to Income Tax in Pune.
                    ","Income Tax","New PAN Card","Paid INR 200
                        ","November 02, 2015","Pune
                      , Maharashtra","81520"
"127","262 views","
                      I Paid Rs. 20000 to Others in Hyderabad.
                    ","Others","Others","Paid INR 20,000
                        ","November 02, 2015","Hyderabad
                      , Telangana","81499"
"128","310 views","
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Kolkata.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 500
                        ","November 02, 2015","Kolkata
                      , West Bengal","81496"
"129","296 views","
                      I Paid Rs. 111 to Municipal Services in Chennai.
                    ","Municipal Services","Birth Certificate","Paid INR 111
                        ","November 01, 2015","Chennai
                      , Tamil Nadu","81493"
